ONETOCCSOC_2018,O*NET-SOC Code,Title,Date,INR,IR,PNR,PR
131051,13-1051.00,Cost Estimators,06/2008,0.25,0,0.583333333333333,0.166666666666667
131081,13-1081.01,Logistics Engineers,07/2011,0.192982456140351,0,0.701754385964912,0.105263157894737
131111,13-1111.00,Management Analysts,12/2005,0.4,0,0.5,0.1
131121,13-1121.00,"Meeting, Convention, and Event Planners",06/2008,0.769230769230769,0,0.0769230769230769,0.153846153846154
131131,13-1131.00,Fundraisers,07/2014,0.521739130434783,0.0434782608695652,0.391304347826087,0.0434782608695652
131141,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",06/2009,0.333333333333333,0,0.583333333333333,0.0833333333333333
131151,13-1151.00,Training and Development Specialists,07/2014,0.588235294117647,0,0.411764705882353,0
131161,13-1161.00,Market Research Analysts and Marketing Specialists,06/2009,0.307692307692308,0,0.692307692307692,0
131199,13-1199.06,Online Merchants,07/2014,0.175,0.00833333333333333,0.675,0.141666666666667
132011,13-2011.01,Accountants,06/2009,0.176470588235294,0,0.647058823529412,0.176470588235294
132031,13-2031.00,Budget Analysts,06/2008,0.0909090909090909,0,0.909090909090909,0
132041,13-2041.00,Credit Analysts,06/2009,0.285714285714286,0,0.714285714285714,0
132051,13-2051.00,Financial Analysts,12/2005,0,0,1,0
132052,13-2052.00,Personal Financial Advisors,07/2012,0.882352941176471,0,0.117647058823529,0
132053,13-2053.00,Insurance Underwriters,06/2009,0.142857142857143,0,0.857142857142857,0
132061,13-2061.00,Financial Examiners,07/2012,0.294117647058824,0,0.705882352941177,0
132081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",07/2011,0.333333333333333,0.111111111111111,0.111111111111111,0.444444444444444
132082,13-2082.00,Tax Preparers,07/2013,0.363636363636364,0,0.454545454545455,0.181818181818182
132099,13-2099.02,Risk Management Specialists,07/2011,0.27027027027027,0,0.675675675675676,0.0540540540540541
152011,15-2011.00,Actuaries,06/2009,0.416666666666667,0,0.583333333333333,0
152031,15-2031.00,Operations Research Analysts,07/2011,0.166666666666667,0,0.833333333333333,0
171011,17-1011.00,"Architects, Except Landscape and Naval",07/2014,0.208333333333333,0,0.708333333333333,0.0833333333333333
172011,17-2011.00,Aerospace Engineers,07/2015,0.2,0,0.7,0.1
172041,17-2041.00,Chemical Engineers,06/2009,0,0,1,0
172051,17-2051.00,Civil Engineers,07/2014,0.2,0,0.8,0
172061,17-2061.00,Computer Hardware Engineers,07/2013,0.1875,0,0.8125,0
172081,17-2081.00,Environmental Engineers,07/2012,0.235294117647059,0,0.725490196078431,0.0392156862745098
172121,17-2121.01,Marine Engineers,12/2005,0.173913043478261,0,0.826086956521739,0
172131,17-2131.00,Materials Engineers,07/2012,0.235294117647059,0,0.764705882352941,0
172141,17-2141.00,Mechanical Engineers,07/2015,0.0847457627118644,0,0.915254237288136,0
173011,17-3011.01,Architectural Drafters,06/2010,0.173913043478261,0,0.739130434782609,0.0869565217391304
173023,17-3023.03,Electrical Engineering Technicians,07/2014,0.142857142857143,0,0.714285714285714,0.142857142857143
173031,17-3031.02,Mapping Technicians,07/2014,0.0303030303030303,0,0.727272727272727,0.242424242424242
191020,19-1020.01,Biologists,06/2010,0.571428571428571,0,0.428571428571429,0
192021,19-2021.00,Atmospheric and Space Scientists,07/2012,0.157894736842105,0,0.842105263157895,0
192041,19-2041.03,Industrial Ecologists,07/2015,0.138888888888889,0,0.861111111111111,0
192099,19-2099.01,Remote Sensing Scientists and Technologists,06/2009,0.136363636363636,0,0.818181818181818,0.0454545454545455
193011,19-3011.01,Environmental Economists,07/2012,0.148148148148148,0,0.851851851851852,0
193051,19-3051.00,Urban and Regional Planners,07/2014,0.444444444444444,0,0.555555555555556,0
194021,19-4021.00,Biological Technicians,06/2009,0,0,0.571428571428571,0.428571428571429
194031,19-4031.00,Chemical Technicians,07/2014,0.222222222222222,0,0.555555555555556,0.222222222222222
211011,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,07/2014,0.85,0,0.05,0.1
211012,21-1012.00,"Educational, Guidance, School, and Vocational Counselors",06/2010,0.904761904761905,0,0,0.0952380952380952
211013,21-1013.00,Marriage and Family Therapists,07/2012,0.928571428571429,0,0,0.0714285714285714
211014,21-1014.00,Mental Health Counselors,07/2013,0.869565217391304,0,0,0.130434782608696
211015,21-1015.00,Rehabilitation Counselors,07/2012,0.833333333333333,0,0.0833333333333333,0.0833333333333333
211021,21-1021.00,"Child, Family, and School Social Workers",06/2009,0.923076923076923,0,0,0.0769230769230769
211022,21-1022.00,Healthcare Social Workers,07/2014,0.875,0,0.0625,0.0625
211023,21-1023.00,Mental Health and Substance Abuse Social Workers,07/2013,0.916666666666667,0,0.0833333333333333,0
211092,21-1092.00,Probation Officers and Correctional Treatment Specialists,07/2011,0.875,0,0.0625,0.0625
211093,21-1093.00,Social and Human Service Assistants,07/2013,0.714285714285714,0,0,0.285714285714286
212011,21-2011.00,Clergy,07/2015,0.857142857142857,0,0.0952380952380952,0.0476190476190476
212021,21-2021.00,"Directors, Religious Activities and Education",07/2015,0.642857142857143,0,0.285714285714286,0.0714285714285714
231012,23-1012.00,Judicial Law Clerks,07/2013,0.3,0,0.4,0.3
232011,23-2011.00,Paralegals and Legal Assistants,06/2009,0.166666666666667,0,0.5,0.333333333333333
232093,23-2093.00,"Title Examiners, Abstractors, and Searchers",06/2006,0.181818181818182,0,0.363636363636364,0.454545454545455
254031,25-4031.00,Library Technicians,06/2009,0.3,0.2,0.1,0.4
271021,27-1021.00,Commercial and Industrial Designers,06/2010,0.153846153846154,0,0.846153846153846,0
271023,27-1023.00,Floral Designers,07/2015,0.285714285714286,0.0714285714285714,0.357142857142857,0.285714285714286
271024,27-1024.00,Graphic Designers,06/2008,0.153846153846154,0,0.615384615384615,0.230769230769231
271025,27-1025.00,Interior Designers,06/2009,0.4,0,0.6,0
271026,27-1026.00,Merchandise Displayers and Window Trimmers,07/2015,0.25,0,0.4375,0.3125
272011,27-2011.00,Actors,12/2005,0.545454545454545,0,0.454545454545455,0
272012,27-2012.04,Talent Directors,12/2006,0.518518518518519,0,0.388888888888889,0.0925925925925926
272022,27-2022.00,Coaches and Scouts,07/2011,0.666666666666667,0,0.285714285714286,0.0476190476190476
272023,27-2023.00,"Umpires, Referees, and Other Sports Officials",07/2014,0.75,0.0833333333333333,0,0.166666666666667
272041,27-2041.01,Music Directors,06/2007,0.333333333333333,0,0.606060606060606,0.0606060606060606
272042,27-2042.01,Singers,06/2007,0.142857142857143,0,0.80952380952381,0.0476190476190476
273011,27-3011.00,Radio and Television Announcers,12/2004,0.7,0.1,0.2,0
273031,27-3031.00,Public Relations Specialists,07/2014,0.666666666666667,0,0.333333333333333,0
273041,27-3041.00,Editors,06/2009,0.4,0,0.6,0
273042,27-3042.00,Technical Writers,07/2012,0.0666666666666667,0,0.8,0.133333333333333
273043,27-3043.05,"Poets, Lyricists and Creative Writers",12/2006,0.347826086956522,0,0.652173913043478,0
273091,27-3091.00,Interpreters and Translators,07/2012,0.363636363636364,0,0.636363636363636,0
274021,27-4021.00,Photographers,07/2014,0.117647058823529,0,0.588235294117647,0.294117647058824
291011,29-1011.00,Chiropractors,07/2013,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909
291031,29-1031.00,Dietitians and Nutritionists,07/2014,0.476190476190476,0,0.476190476190476,0.0476190476190476
291041,29-1041.00,Optometrists,07/2014,0.9,0,0.1,0
291051,29-1051.00,Pharmacists,07/2013,0.5625,0,0.1875,0.25
291071,29-1071.00,Physician Assistants,07/2014,0.625,0,0.25,0.125
291081,29-1081.00,Podiatrists,07/2011,0.636363636363636,0,0.181818181818182,0.181818181818182
291122,29-1122.00,Occupational Therapists,07/2014,0.794117647058824,0,0.117647058823529,0.0882352941176471
291123,29-1123.00,Physical Therapists,07/2013,0.636363636363636,0,0.272727272727273,0.0909090909090909
291124,29-1124.00,Radiation Therapists,07/2013,0.368421052631579,0.0526315789473684,0.157894736842105,0.421052631578947
291125,29-1125.01,Art Therapists,07/2014,0.725806451612903,0,0.258064516129032,0.0161290322580645
291126,29-1126.00,Respiratory Therapists,07/2013,0.7,0.05,0.1,0.15
291127,29-1127.00,Speech-Language Pathologists,07/2013,0.75,0,0.15,0.1
291131,29-1131.00,Veterinarians,07/2013,0.375,0,0.4375,0.1875
291141,29-1141.01,Acute Care Nurses,07/2014,0.640350877192982,0.0263157894736842,0.192982456140351,0.140350877192982
291151,29-1151.00,Nurse Anesthetists,07/2014,0.5,0,0.291666666666667,0.208333333333333
291181,29-1181.00,Audiologists,07/2014,0.772727272727273,0,0.136363636363636,0.0909090909090909
292031,29-2031.00,Cardiovascular Technologists and Technicians,07/2014,0.4,0.1,0.1,0.4
292032,29-2032.00,Diagnostic Medical Sonographers,07/2013,0.5,0,0.222222222222222,0.277777777777778
292034,29-2034.00,Radiologic Technologists,07/2013,0.285714285714286,0.0714285714285714,0.142857142857143,0.5
292035,29-2035.00,Magnetic Resonance Imaging Technologists,07/2012,0.25,0.05,0.35,0.35
292052,29-2052.00,Pharmacy Technicians,07/2013,0,0.25,0,0.75
292053,29-2053.00,Psychiatric Technicians,07/2014,0.888888888888889,0,0,0.111111111111111
292055,29-2055.00,Surgical Technologists,07/2013,0.142857142857143,0.214285714285714,0,0.642857142857143
292056,29-2056.00,Veterinary Technologists and Technicians,07/2013,0.3,0.233333333333333,0.0666666666666667,0.4
292061,29-2061.00,Licensed Practical and Licensed Vocational Nurses,07/2013,0.428571428571429,0.285714285714286,0,0.285714285714286
292081,29-2081.00,"Opticians, Dispensing",07/2015,0.35,0.1,0.15,0.4
319011,31-9011.00,Massage Therapists,07/2015,0.916666666666667,0,0,0.0833333333333333
319091,31-9091.00,Dental Assistants,07/2013,0.25,0.0833333333333333,0.166666666666667,0.5
319092,31-9092.00,Medical Assistants,07/2013,0.222222222222222,0.333333333333333,0,0.444444444444444
319094,31-9094.00,Medical Transcriptionists,07/2012,0.125,0,0.125,0.75
319095,31-9095.00,Pharmacy Aides,07/2014,0,0.5,0,0.5
319096,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,07/2013,0.347826086956522,0.173913043478261,0,0.478260869565217
319097,31-9097.00,Phlebotomists,07/2012,0.125,0,0.0625,0.8125
331011,33-1011.00,First-Line Supervisors of Correctional Officers,07/2012,0.619047619047619,0.142857142857143,0.0952380952380952,0.142857142857143
331012,33-1012.00,First-Line Supervisors of Police and Detectives,06/2008,0.666666666666667,0,0.0555555555555556,0.277777777777778
331021,33-1021.02,Forest Fire Fighting and Prevention Supervisors,07/2014,0.525,0.025,0.3,0.15
332011,33-2011.02,Forest Firefighters,06/2010,0.333333333333333,0.0222222222222222,0.377777777777778,0.266666666666667
333012,33-3012.00,Correctional Officers and Jailers,06/2008,0.304347826086957,0.217391304347826,0.0869565217391304,0.391304347826087
333021,33-3021.05,Immigration and Customs Inspectors,07/2012,0.407407407407407,0.0123456790123457,0.45679012345679,0.123456790123457
339011,33-9011.00,Animal Control Workers,12/2005,0.642857142857143,0.0714285714285714,0.0714285714285714,0.214285714285714
339021,33-9021.00,Private Detectives and Investigators,07/2015,0.3,0,0.6,0.1
339091,33-9091.00,Crossing Guards,12/2006,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667
339093,33-9093.00,Transportation Security Screeners,06/2009,0.458333333333333,0.25,0.0833333333333333,0.208333333333333
351011,35-1011.00,Chefs and Head Cooks,07/2013,0.476190476190476,0,0.285714285714286,0.238095238095238
351012,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,06/2010,0.25,0.1,0.35,0.3
352021,35-2021.00,Food Preparation Workers,06/2010,0.0588235294117647,0.117647058823529,0.0588235294117647,0.764705882352941
353011,35-3011.00,Bartenders,06/2010,0.142857142857143,0.5,0.0714285714285714,0.285714285714286
353031,35-3031.00,Waiters and Waitresses,06/2010,0.125,0.541666666666667,0.0416666666666667,0.291666666666667
353041,35-3041.00,"Food Servers, Nonrestaurant",07/2014,0.153846153846154,0.0769230769230769,0,0.769230769230769
359011,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,07/2014,0,0.384615384615385,0,0.615384615384615
359021,35-9021.00,Dishwashers,07/2014,0,0,0,1
359031,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",06/2010,0.272727272727273,0.545454545454545,0,0.181818181818182
371011,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,07/2011,0.380952380952381,0.0476190476190476,0.285714285714286,0.285714285714286
371012,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",07/2015,0.48,0,0.28,0.24
372012,37-2012.00,Maids and Housekeeping Cleaners,07/2012,0,0,0,1
372021,37-2021.00,Pest Control Workers,07/2015,0.222222222222222,0,0.333333333333333,0.444444444444444
373011,37-3011.00,Landscaping and Groundskeeping Workers,07/2015,0,0,0.0714285714285714,0.928571428571429
373013,37-3013.00,Tree Trimmers and Pruners,06/2007,0.111111111111111,0,0.222222222222222,0.666666666666667
392011,39-2011.00,Animal Trainers,07/2014,0.3,0.1,0.3,0.3
392021,39-2021.00,Nonfarm Animal Caretakers,07/2011,0.222222222222222,0.111111111111111,0.222222222222222,0.444444444444444
393021,39-3021.00,Motion Picture Projectionists,12/2005,0,0,0.266666666666667,0.733333333333333
393031,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",07/2015,0.25,0.5,0,0.25
394031,39-4031.00,"Morticians, Undertakers, and Funeral Directors",06/2008,0.714285714285714,0.0952380952380952,0.0476190476190476,0.142857142857143
395011,39-5011.00,Barbers,12/2005,0.272727272727273,0.272727272727273,0.0909090909090909,0.363636363636364
395012,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",03/2003,0.375,0.1875,0.125,0.3125
395092,39-5092.00,Manicurists and Pedicurists,07/2015,0.222222222222222,0.111111111111111,0.0555555555555556,0.611111111111111
395094,39-5094.00,Skincare Specialists,07/2012,0.533333333333333,0.0666666666666667,0.2,0.2
399011,39-9011.01,Nannies,07/2004,0.638888888888889,0.138888888888889,0.0277777777777778,0.194444444444444
399031,39-9031.00,Fitness Trainers and Aerobics Instructors,07/2014,0.928571428571429,0,0,0.0714285714285714
399032,39-9032.00,Recreation Workers,06/2009,0.75,0.125,0.0625,0.0625
399041,39-9041.00,Residential Advisors,07/2011,0.882352941176471,0.117647058823529,0,0
411011,41-1011.00,First-Line Supervisors of Retail Sales Workers,06/2009,0.375,0.125,0.1875,0.3125
411012,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,07/2012,0.75,0,0.166666666666667,0.0833333333333333
412021,41-2021.00,Counter and Rental Clerks,06/2010,0.266666666666667,0.466666666666667,0,0.266666666666667
412031,41-2031.00,Retail Salespersons,06/2009,0.1875,0.375,0.0625,0.375
413011,41-3011.00,Advertising Sales Agents,06/2009,0.588235294117647,0,0.294117647058824,0.117647058823529
413021,41-3021.00,Insurance Sales Agents,06/2009,0.625,0,0.1875,0.1875
413031,41-3031.01,"Sales Agents, Securities and Commodities",07/2015,0.457142857142857,0,0.342857142857143,0.2
413041,41-3041.00,Travel Agents,03/2003,0.285714285714286,0.428571428571429,0,0.285714285714286
419031,41-9031.00,Sales Engineers,07/2013,0.526315789473684,0,0.315789473684211,0.157894736842105
419041,41-9041.00,Telemarketers,12/2004,0.333333333333333,0.5,0,0.166666666666667
419091,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",06/2007,0.363636363636364,0.363636363636364,0.0909090909090909,0.181818181818182
431011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,07/2015,0.736842105263158,0,0.105263157894737,0.157894736842105
432011,43-2011.00,"Switchboard Operators, Including Answering Service",07/2013,0,0.75,0,0.25
432021,43-2021.00,Telephone Operators,06/2007,0.666666666666667,0.333333333333333,0,0
433011,43-3011.00,Bill and Account Collectors,06/2009,0.636363636363636,0,0,0.363636363636364
433021,43-3021.01,Statement Clerks,07/2014,0.0625,0.125,0.0625,0.75
433031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",06/2009,0,0.153846153846154,0,0.846153846153846
433041,43-3041.00,Gaming Cage Workers,07/2014,0.142857142857143,0.214285714285714,0,0.642857142857143
433051,43-3051.00,Payroll and Timekeeping Clerks,06/2009,0.142857142857143,0.0714285714285714,0.0714285714285714,0.714285714285714
433061,43-3061.00,Procurement Clerks,07/2015,0.333333333333333,0,0.2,0.466666666666667
433071,43-3071.00,Tellers,06/2009,0.166666666666667,0,0.0555555555555556,0.777777777777778
434031,43-4031.02,Municipal Clerks,07/2014,0.297297297297297,0.0540540540540541,0.162162162162162,0.486486486486487
434041,43-4041.01,Credit Authorizers,12/2005,0.4,0,0.2,0.4
434051,43-4051.00,Customer Service Representatives,07/2013,0.6875,0,0.1875,0.125
434061,43-4061.00,"Eligibility Interviewers, Government Programs",06/2006,0.666666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667
434071,43-4071.00,File Clerks,07/2014,0,0.0666666666666667,0.133333333333333,0.8
434081,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",06/2009,0.352941176470588,0.352941176470588,0,0.294117647058824
434111,43-4111.00,"Interviewers, Except Eligibility and Loan",07/2013,0.5,0.125,0.125,0.25
434121,43-4121.00,"Library Assistants, Clerical",06/2010,0.333333333333333,0.166666666666667,0,0.5
434131,43-4131.00,Loan Interviewers and Clerks,12/2006,0.357142857142857,0.142857142857143,0.0714285714285714,0.428571428571429
434141,43-4141.00,New Accounts Clerks,07/2011,0.5,0.2,0,0.3
434161,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",06/2009,0.285714285714286,0,0,0.714285714285714
434171,43-4171.00,Receptionists and Information Clerks,07/2014,0.0909090909090909,0.272727272727273,0.0909090909090909,0.545454545454545
434181,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,07/2013,0.285714285714286,0.428571428571429,0.0714285714285714,0.214285714285714
435011,43-5011.01,Freight Forwarders,07/2014,0.346153846153846,0.0384615384615385,0.230769230769231,0.384615384615385
435021,43-5021.00,Couriers and Messengers,07/2005,0,0.285714285714286,0.142857142857143,0.571428571428571
435031,43-5031.00,"Police, Fire, and Ambulance Dispatchers",06/2008,0.266666666666667,0.0666666666666667,0.333333333333333,0.333333333333333
435032,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",07/2013,0.636363636363636,0,0.181818181818182,0.181818181818182
435061,43-5061.00,"Production, Planning, and Expediting Clerks",07/2013,0.384615384615385,0,0.0769230769230769,0.538461538461538
435071,43-5071.00,"Shipping, Receiving, and Traffic Clerks",07/2012,0.222222222222222,0,0.111111111111111,0.666666666666667
435111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",12/2006,0,0,0,1
436011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,06/2009,0.214285714285714,0.142857142857143,0.142857142857143,0.5
436012,43-6012.00,Legal Secretaries,06/2010,0.111111111111111,0.333333333333333,0,0.555555555555556
436013,43-6013.00,Medical Secretaries,07/2013,0.111111111111111,0.333333333333333,0,0.555555555555556
436014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",07/2012,0.0952380952380952,0.285714285714286,0.0952380952380952,0.523809523809524
439021,43-9021.00,Data Entry Keyers,12/2006,0,0,0,1
439022,43-9022.00,Word Processors and Typists,03/2003,0,0.0666666666666667,0,0.933333333333333
439041,43-9041.01,Insurance Claims Clerks,07/2015,0.181818181818182,0.0454545454545455,0.181818181818182,0.590909090909091
439051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",06/2007,0,0,0,1
439061,43-9061.00,"Office Clerks, General",06/2010,0.0769230769230769,0.230769230769231,0.0769230769230769,0.615384615384615
439071,43-9071.00,"Office Machine Operators, Except Computer",06/2007,0,0.0588235294117647,0.0588235294117647,0.882352941176471
439081,43-9081.00,Proofreaders and Copy Markers,07/2005,0,0,0.333333333333333,0.666666666666667
439111,43-9111.00,Statistical Assistants,07/2015,0.05,0,0.55,0.4
451011,45-1011.05,First-Line Supervisors of Logging Workers,07/2014,0.4,0.0307692307692308,0.307692307692308,0.261538461538462
452011,45-2011.00,Agricultural Inspectors,07/2013,0.5,0,0.5,0
452041,45-2041.00,"Graders and Sorters, Agricultural Products",06/2007,0,0,1,0
471011,47-1011.03,Solar Energy Installation Managers,07/2014,0.433333333333333,0,0.466666666666667,0.1
472011,47-2011.00,Boilermakers,07/2015,0,0,0.5,0.5
472031,47-2031.01,Construction Carpenters,07/2014,0.0666666666666667,0,0.3,0.633333333333333
472061,47-2061.00,Construction Laborers,07/2012,0.133333333333333,0.0666666666666667,0.0666666666666667,0.733333333333333
472071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",07/2011,0.166666666666667,0,0.0833333333333333,0.75
472111,47-2111.00,Electricians,07/2013,0.105263157894737,0,0.473684210526316,0.421052631578947
472121,47-2121.00,Glaziers,07/2014,0,0,0.333333333333333,0.666666666666667
472141,47-2141.00,"Painters, Construction and Maintenance",07/2014,0,0,0.375,0.625
472142,47-2142.00,Paperhangers,06/2008,0,0,0.235294117647059,0.764705882352941
472151,47-2151.00,Pipelayers,07/2015,0.0714285714285714,0,0.214285714285714,0.714285714285714
472152,47-2152.01,Pipe Fitters and Steamfitters,07/2014,0,0,0.321428571428571,0.678571428571429
472161,47-2161.00,Plasterers and Stucco Masons,07/2015,0,0,0.181818181818182,0.818181818181818
472181,47-2181.00,Roofers,07/2015,0,0,0.5,0.5
472211,47-2211.00,Sheet Metal Workers,07/2014,0.0714285714285714,0,0.428571428571429,0.5
472221,47-2221.00,Structural Iron and Steel Workers,07/2015,0,0,0.266666666666667,0.733333333333333
474011,47-4011.00,Construction and Building Inspectors,07/2013,0.166666666666667,0,0.75,0.0833333333333333
474021,47-4021.00,Elevator Installers and Repairers,12/2006,0,0,0.444444444444444,0.555555555555556
474041,47-4041.00,Hazardous Materials Removal Workers,07/2015,0,0,0.4,0.6
474051,47-4051.00,Highway Maintenance Workers,06/2010,0,0.166666666666667,0.166666666666667,0.666666666666667
474061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,07/2015,0,0,0.0588235294117647,0.941176470588235
491011,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",07/2013,0.380952380952381,0,0.428571428571429,0.19047619047619
492011,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",07/2015,0.166666666666667,0,0.416666666666667,0.416666666666667
492091,49-2091.00,Avionics Technicians,07/2015,0.0833333333333333,0,0.5,0.416666666666667
492092,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",12/2006,0,0,0.2,0.8
492097,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,06/2007,0.3,0,0.6,0.1
492098,49-2098.00,Security and Fire Alarm Systems Installers,07/2015,0.142857142857143,0,0.428571428571429,0.428571428571429
493011,49-3011.00,Aircraft Mechanics and Service Technicians,07/2013,0.0689655172413793,0,0.379310344827586,0.551724137931035
493021,49-3021.00,Automotive Body and Related Repairers,06/2009,0,0,0.315789473684211,0.68421052631579
493023,49-3023.02,Automotive Specialty Technicians,07/2014,0.0540540540540541,0,0.648648648648649,0.297297297297297
493031,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,07/2013,0,0,0.6,0.4
499021,49-9021.01,Heating and Air Conditioning Mechanics and Installers,07/2014,0.0444444444444444,0.0222222222222222,0.4,0.533333333333333
499031,49-9031.00,Home Appliance Repairers,06/2007,0.176470588235294,0.0588235294117647,0.411764705882353,0.352941176470588
499043,49-9043.00,"Maintenance Workers, Machinery",07/2015,0.0588235294117647,0,0.235294117647059,0.705882352941177
499044,49-9044.00,Millwrights,06/2010,0.0454545454545455,0,0.363636363636364,0.590909090909091
499051,49-9051.00,Electrical Power-Line Installers and Repairers,07/2012,0.0476190476190476,0,0.380952380952381,0.571428571428571
499052,49-9052.00,Telecommunications Line Installers and Repairers,07/2015,0.166666666666667,0,0.25,0.583333333333333
499071,49-9071.00,"Maintenance and Repair Workers, General",07/2014,0,0,0.6,0.4
499091,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",06/2007,0.125,0,0.25,0.625
499094,49-9094.00,Locksmiths and Safe Repairers,06/2010,0,0,0.416666666666667,0.583333333333333
499096,49-9096.00,Riggers,06/2007,0.0909090909090909,0,0.545454545454545,0.363636363636364
499098,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",07/2011,0,0,0.333333333333333,0.666666666666667
511011,51-1011.00,First-Line Supervisors of Production and Operating Workers,07/2011,0.294117647058824,0,0.352941176470588,0.352941176470588
512031,51-2031.00,Engine and Other Machine Assemblers,07/2014,0,0,0.222222222222222,0.777777777777778
512041,51-2041.00,Structural Metal Fabricators and Fitters,07/2013,0,0,0.333333333333333,0.666666666666667
