O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,ONETOCCSOC_2018
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3246,Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Supplemental,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3239,Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,Supplemental,61,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Supplemental,61,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Supplemental,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Supplemental,61,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team including setting goals, providing incentives, and evaluating employee performance.",Supplemental,61,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",Supplemental,62,06/2010,Incumbent,112011
11-2011.01,Green Marketers,19941,Analyze green product marketing or sales trends to forecast future conditions.,"",,07/2011,Analyst,112011
11-2011.01,Green Marketers,15400,Analyze the effectiveness of marketing tactics or channels.,"",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19940,"Attend or participate in conferences, community events, and promotional events related to green products or technologies.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19939,"Conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19942,"Develop branding or sales initiatives for green products, such as solar energy systems, green cleaning products, or products using renewable or recycled materials.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19938,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19943,"Develop comprehensive marketing strategies, using knowledge of green products and technologies, markets, and regulations.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19937,Identify marketing channels for green products or services.,"",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19936,"Revise existing marketing plans or campaigns for green products, technologies, or services.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19935,"Write marketing content for green product web sites, brochures, or other communication media.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,15401,"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19944,Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,"",,07/2011,Analyst,112011
11-2011.01,Green Marketers,15389,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19934,Generate or identify sales leads for green products and technologies.,"",,07/2011,Analyst,112011
11-2011.01,Green Marketers,15387,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.","",,07/2011,Analyst,112011
11-2011.01,Green Marketers,19933,Monitor green-related industry statistics or literature to identify trends.,"",,07/2011,Analyst,112011
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,117,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,117,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,117,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,117,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications such as design, color, or packaging.",Core,113,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,115,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,963,Initiate market research studies or analyze their findings.,Core,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,115,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,Supplemental,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Supplemental,116,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,113,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,Supplemental,115,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,Supplemental,115,07/2015,Incumbent,112021
11-2021.00,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,116,07/2015,Incumbent,112021
11-2022.00,Sales Managers,1,Resolve customer complaints regarding sales and service.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,14,Oversee regional and local sales managers and their staffs.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,4,Determine price schedules and discount rates.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,9,Prepare budgets and approve budget expenditures.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,13,Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,16,Direct foreign sales and service outlets of an organization.,Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,6,"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.",Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",Supplemental,21,06/2008,Occupational Expert,112022
11-2022.00,Sales Managers,10,Represent company at trade association meetings to promote products.,Supplemental,21,06/2008,Occupational Expert,112022
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,976,"Develop and interpret organizational goals, policies, and procedures.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,119,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,15198,Provide users with technical support for computer problems.,Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,117,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,119,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,119,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,119,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,120,06/2008,Incumbent,113021
11-3021.00,Computer and Information Systems Managers,981,Purchase necessary equipment.,Core,119,06/2008,Incumbent,113021
11-3031.01,Treasurers and Controllers,8857,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8866,"Develop internal control policies, guidelines, and procedures for activities such as budget administration, cash and credit management, and accounting.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8856,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",Core,29,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8869,Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.,Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8868,"Advise management on short-term and long-term financial objectives, policies, and actions.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8863,"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8864,"Develop and maintain relationships with banking, insurance, and nonorganizational accounting personnel to facilitate financial activities.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8858,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8860,Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.,Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8871,Lead staff training and development in budgeting and financial management areas.,Core,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8855,Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.,Supplemental,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8873,"Compute, withhold, and account for all payroll deductions.",Supplemental,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,20169,"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation.",Supplemental,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8872,Receive cash and checks and make deposits.,Supplemental,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8874,Perform tax planning work.,Supplemental,30,07/2012,Occupational Expert,113031
11-3031.01,Treasurers and Controllers,8875,"Determine depreciation rates to apply to capitalized items and advise management on actions regarding the purchase, lease, or disposal of such items.",Supplemental,30,07/2012,Occupational Expert,113031
11-3031.02,"Financial Managers, Branch or Department",8878,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",Core,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8876,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,Core,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",20462,Recruit staff members.,Core,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8886,Prepare operational or risk reports for management analysis.,Core,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8891,Evaluate data pertaining to costs to plan budgets.,Core,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",20463,Oversee training programs.,Core,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8877,"Examine, evaluate, or process loan applications.",Supplemental,85,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8882,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Supplemental,85,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8879,Oversee the flow of cash or financial instruments.,Supplemental,85,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8883,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8894,Develop or analyze information to assess the current or future financial status of firms.,Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8890,Communicate with stockholders or other investors to provide information or to raise capital.,Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8887,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8892,Analyze and classify risks and investments to determine their potential impacts on companies.,Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8881,Network within communities to find and attract new business.,Supplemental,85,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8885,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8884,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8888,"Plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8893,Review reports of securities transactions or price lists to analyze market conditions.,Supplemental,85,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8895,"Direct insurance negotiations, select insurance brokers or carriers, and place insurance.",Supplemental,86,07/2014,Incumbent,113031
11-3031.02,"Financial Managers, Branch or Department",8889,Submit delinquent accounts to attorneys or outside agencies for collection.,Supplemental,86,07/2014,Incumbent,113031
11-3051.00,Industrial Production Managers,34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",Core,116,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports, to detect production problems.",Core,118,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,35,Review operations and confer with technical or administrative staff to resolve production or processing problems.,Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,38,Prepare and maintain production reports or personnel records.,Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",Core,118,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,37,Initiate or coordinate inventory or cost control programs.,Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",Core,118,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,41,Review plans and confer with research or support staff to develop new products or processes.,Core,118,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,42,Institute employee suggestion or involvement programs.,Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,44,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",Core,117,07/2013,Incumbent,113051
11-3051.00,Industrial Production Managers,45,Negotiate materials prices with suppliers.,Supplemental,118,07/2013,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15411,Collect and analyze production samples to evaluate quality.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15405,Stop production if serious product defects are present.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15421,Instruct staff in quality control and analytical procedures.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15417,Participate in the development of product specifications.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15407,"Review statistical studies, technological advances, or regulatory standards and trends to stay abreast of issues in the field of quality control.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15422,Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15425,Create and implement inspection and testing criteria or procedures.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15429,"Oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15423,"Document testing procedures, methodologies, or criteria.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15415,Review and update standard operating procedures or quality assurance manuals.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15420,Identify quality problems or areas for improvement and recommend solutions.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15413,"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15414,Review quality documentation necessary for regulatory submissions and inspections.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15408,Generate and maintain quality control operating budgets.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15409,Evaluate new testing and sampling methodologies or technologies to determine usefulness.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15431,Direct product testing activities throughout production cycles.,Core,59,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15419,"Instruct vendors or contractors on quality guidelines, testing procedures, or ways to eliminate deficiencies.",Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15410,Coordinate the selection and implementation of quality control equipment such as inspection gauges.,Core,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15418,Monitor development of new products to help identify possible problems for mass production.,Supplemental,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15426,Confer with marketing and sales departments to define client requirements and expectations.,Supplemental,60,07/2012,Incumbent,113051
11-3051.01,Quality Control Systems Managers,15406,Review and approve quality plans submitted by contractors.,Supplemental,59,07/2012,Incumbent,113051
