FeltenDim,Problem,Subproblem,Dataset,Title,Metric,Date,Algorithm,Metric Performance,Source
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-02-15,ACN,95.59,Striving for Simplicity: The All Convolutional Net
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-02-19,NiN+APL,92.49,Learning Activation Functions to Improve Deep Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-02-28,Fractional MP,96.53,Fractional Max-Pooling
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-05-02,Tuned CNN,93.63,Scalable Bayesian Optimization Using Deep Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-05-13,APAC,89.67,APAC: Augmented PAttern Classification with Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-05-31,FLSCNN,75.86,Enhanced Image Classification With a Fast-Learning Shallow Convolutional Neural Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-06-08,RCNN-96,92.91,Recurrent Convolutional Neural Network for Object Recognition
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-06-12,ReNet,87.65,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-07-01,ELC,91.19,Speeding up Automatic Hyperparameter Optimization of Deep Neural Networks by Extrapolation of Learning Curves
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-07-01,MLR DNN,91.88,Multi-Loss Regularized Deep Neural Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-07-01,cifar.torch,92.45,cifar.torch
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-07-12,DCNN+GFE,89.14,Deep Convolutional Neural Networks as Generic Feature Extractors
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-08-16,RReLU,88.8,Empirical Evaluation of Rectified Activations in Convolution Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-09-17,MIM,91.48,On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-10-05,Tree+Max-Avg pooling,93.95,"Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree"
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-10-11,SWWAE,92.23,Stacked What-Where Auto-encoders
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-11-09,BNM NiN,93.25,Batch-normalized Maxout Network in Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-11-18,CMsC,93.13,Competitive Multi-scale Convolution
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-12-07,Spectral Representations for Convolutional Neural Networks,91.4,Spectral Representations for Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-12-07,BinaryConnect,91.73,BinaryConnect: Training Deep Neural Networks with binary weights during propagations
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-12-07,VDN,92.4,Training Very Deep Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-12-10,DRL,93.57,Deep Residual Learning for Image Recognition
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2016-01-04,Fitnet4-LSUV,94.16,All you need is a good init
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2016-01-07,Exponential Linear Units,93.45,Fast and Accurate Deep Network Learning by Exponential Linear Units
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2016-05-15,Universum Prescription,93.34,Universum Prescription: Regularization using Unlabeled Data
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2016-05-20,ResNet-1001,95.38,Identity Mappings in Deep Residual Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2016-07-10,ResNet+ELU,94.38,Deep Residual Networks with Exponential Linear Unit
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2017-02-15,Neural Architecture Search,96.35,Neural Architecture Search with Reinforcement Learning
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2017-04-22,Evolution,94.6,Large-Scale Evolution of Image Classifiers
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2017-04-22,Evolution ensemble,95.6,Large-Scale Evolution of Image Classifiers
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2017-05-30,Deep Complex,94.4,Deep Complex Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2017-07-16,RL+NT,94.6,Reinforcement Learning for Architecture Search by Network Transformation
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2012-06-16,Receptive Field Learning,54.23,Beyond Spatial Pyramids: Receptive Field Learning for Pooled Image Features
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2013-01-16,Stochastic Pooling,57.49,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2013-06-16,Maxout Networks,61.43,Maxout Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2013-07-01,Smooth Pooling Regions,56.29,Smooth Pooling Regions
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2013-07-01,Tree Priors,63.15,Discriminative Transfer Learning with Tree-based Priors
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2014-04-14,DNN+Probabilistic Maxout,61.86,Improving Deep Neural Networks with Probabilistic Maxout Units
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2014-04-14,NiN,64.32,Network in Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2014-06-21,Stable and Efficient Representation Learning with Nonnegativity Constraints,60.8,Stable and Efficient Representation Learning with Nonnegativity Constraints
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2014-07-01,DSN,65.43,Deeply-Supervised Nets
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2014-09-22,SSCNN,75.7,Spatially-sparse convolutional neural networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2014-12-08,Deep Networks with Internal Selective Attention through Feedback Connections,66.22,Deep Networks with Internal Selective Attention through Feedback Connections
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-02-15,ACN,66.29,Striving for Simplicity: The All Convolutional Net
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-02-19,NiN+APL,69.17,Learning Activation Functions to Improve Deep Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-02-28,Fractional MP,73.61,Fractional Max-Pooling
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-05-02,Tuned CNN,72.6,Scalable Bayesian Optimization Using Deep Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-06-08,RCNN-96,68.25,Recurrent Convolutional Neural Network for Object Recognition
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-07-01,Deep Representation Learning with Target Coding,64.77,Deep Representation Learning with Target Coding
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-07-01,HD-CNN,67.38,HD-CNN: Hierarchical Deep Convolutional Neural Network for Large Scale Visual Recognition
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-07-01,MLR DNN,68.53,Multi-Loss Regularized Deep Neural Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-07-12,DCNN+GFE,67.68,Deep Convolutional Neural Networks as Generic Feature Extractors
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-08-16,RReLU,59.75,Empirical Evaluation of Rectified Activations in Convolution Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-09-17,MIM,70.8,On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-10-05,Tree+Max-Avg pooling,67.63,"Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree"
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-10-11,SWWAE,69.12,Stacked What-Where Auto-encoders
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-11-09,BNM NiN,71.14,Batch-normalized Maxout Network in Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-11-18,CMsC,72.44,Competitive Multi-scale Convolution
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-12-07,VDN,67.76,Training Very Deep Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2015-12-07,Spectral Representations for Convolutional Neural Networks,68.4,Spectral Representations for Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2016-01-04,Fitnet4-LSUV,72.34,All you need is a good init
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2016-01-07,Exponential Linear Units,75.72,Fast and Accurate Deep Network Learning by Exponential Linear Units
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2016-05-15,Universum Prescription,67.16,Universum Prescription: Regularization using Unlabeled Data
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2016-05-20,ResNet-1001,77.29,Identity Mappings in Deep Residual Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2016-07-10,ResNet+ELU,73.45,Deep Residual Networks with Exponential Linear Unit
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2017-04-22,Evolution,77,Large-Scale Evolution of Image Classifiers
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2017-05-30,Deep Complex,72.91,Deep Complex Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-100 Image Recognition,Percentage Correct,2017-06-06,NiN+Superclass+CDJ,69,Deep Convolutional Decision Jungle for Image Classification
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2010-08-31,NEC UIUC,0.28191,ImageNet Large Scale Visual Recognition Competition 2010 (ILSVRC2010)
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2011-10-26,XRCE,0.2577,ImageNet Large Scale Visual Recognition Competition 2011 (ILSVRC2011)
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2012-10-13,AlexNet / SuperVision,0.16422,ImageNet Large Scale Visual Recognition Competition 2012 (ILSVRC2012) (algorithm from ImageNet Classification with Deep Convolutional Neural Networks)
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2013-11-14,Clarifai,0.11743,ImageNet Large Scale Visual Recognition Competition 2013 (ILSVRC2013)
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2014-08-18,VGG,0.07405,ImageNet Large Scale Visual Recognition Competition 2014 (ILSVRC2014)
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2015-04-10,withdrawn,0.0458,Deep Image: Scaling up Image Recognition
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2015-12-10,MSRA,0.03567,ILSVRC2015 Results
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2016-09-26,Trimps-Soushen,0.02991,ILSVRC2016 Results
Image Recognition,Vision,Image Recognition,Imagenet,Imagenet Image Recognition,Error,2017-07-21,SE-ResNet152 / WMW,0.02251,ILSVRC2017 Results
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2002-07-01,ISVM,0.56,Training Invariant Support Vector Machines
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2002-07-01,Shape contexts,0.63,Shape matching and object recognition using shape contexts
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2003-07-01,Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis,0.4,Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2003-07-01,CNN+Gabor Filters,0.68,Handwritten Digit Recognition using Convolutional Neural Networks and Gabor Filters
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2003-07-01,CNN,1.19,Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2006-07-01,Energy-Based Sparse Represenation,0.39,Efficient Learning of Sparse Representations with an Energy-Based Model
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2006-07-01,Reducing the dimensionality of data with neural networks,1.2,Reducing the dimensionality of data with neural networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2007-07-01,Deformation Models,0.54,Deformation Models for Image Recognition
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2007-07-01,Trainable feature extractor,0.54,A trainable feature extractor for handwritten digit recognition
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2007-07-01,invariant feature hierarchies,0.62,Unsupervised learning of invariant feature hierarchies with applications to object recognition
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2008-07-01,Sparse Coding,0.59,Simple Methods for High-Performance Digit Recognition Based on Sparse Coding
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2008-07-01,DBN,1.12,CS81: Learning words with Deep Belief Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2008-07-01,Deep learning via semi-supervised embedding,1.5,Deep learning via semi-supervised embedding
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2009-07-01,The Best Multi-Stage Architecture,0.53,What is the Best Multi-Stage Architecture for Object Recognition?
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2009-07-01,CDBN,0.82,Convolutional Deep Belief Networks for Scalable Unsupervised Learning of Hierarchical Representations
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2009-07-01,Large-Margin kNN,0.94,Large-Margin kNN Classification using a Deep Encoder Network
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2009-07-01,Deep Boltzmann Machines,0.95,Deep Boltzmann Machines
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2010-03-01,DBSNN,0.35,Deep Big Simple Neural Nets Excel on Handwritten Digit Recognition
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2010-07-01,Supervised Translation-Invariant Sparse Coding,0.84,Supervised Translation-Invariant Sparse Coding
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2011-07-01,On Optimization Methods for Deep Learning,0.69,On Optimization Methods for Deep Learning
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2012-06-16,MCDNN,0.23,Multi-column Deep Neural Networks for Image Classification
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2012-06-16,Receptive Field Learning,0.64,Beyond Spatial Pyramids: Receptive Field Learning for Pooled Image Features
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2013-02-28,COSFIRE,0.52,Trainable COSFIRE Filters for Keypoint Detection and Pattern Recognition
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2013-06-16,DropConnect,0.21,Regularization of Neural Networks using DropConnect
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2013-06-16,Maxout Networks,0.45,Maxout Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2013-07-01,Sparse Activity and Sparse Connectivity in Supervised Learning,0.75,Sparse Activity and Sparse Connectivity in Supervised Learning
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2014-04-14,NiN,0.47,Network in Network
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2014-06-21,PCANet,0.62,PCANet: A Simple Deep Learning Baseline for Image Classification?
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2014-07-01,DSN,0.39,Deeply-Supervised Nets
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2014-07-01,StrongNet,1.1,StrongNet: mostly unsupervised image recognition with strong neurons
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2014-08-28,CKN,0.39,Convolutional Kernel Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-02-03,Explaining and Harnessing Adversarial Examples,0.78,Explaining and Harnessing Adversarial Examples
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-02-28,Fractional MP,0.32,Fractional Max-Pooling
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-03-11,C-SVDDNet,0.35,C-SVDDNet: An Effective Single-Layer Network for Unsupervised Feature Learning
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-04-05,HOPE,0.4,Hybrid Orthogonal Projection and Estimation (HOPE): A New Framework to Probe and Learn Neural Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-05-13,APAC,0.23,APAC: Augmented PAttern Classification with Neural Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-05-31,FLSCNN,0.37,Enhanced Image Classification With a Fast-Learning Shallow Convolutional Neural Network
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-06-08,RCNN-96,0.31,Recurrent Convolutional Neural Network for Object Recognition
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-06-12,ReNet,0.45,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-07-01,MLR DNN,0.42,Multi-Loss Regularized Deep Neural Network
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-07-01,Deep Fried Convnets,0.71,Deep Fried Convnets
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-07-12,DCNN+GFE,0.46,Deep Convolutional Neural Networks as Generic Feature Extractors
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-09-17,MIM,0.35,On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-10-05,Tree+Max-Avg pooling,0.29,"Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree"
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-11-09,BNM NiN,0.24,Batch-normalized Maxout Network in Network
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-11-18,CMsC,0.33,Competitive Multi-scale Convolution
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-12-07,VDN,0.45,Training Very Deep Networks
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2015-12-07,BinaryConnect,1.01,BinaryConnect: Training Deep Neural Networks with binary weights during propagations
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2016-01-02,Convolutional Clustering,1.4,Convolutional Clustering for Unsupervised Learning
Image Recognition,Vision,Image Recognition,MNIST,MNIST handwritten digit recognition,Percentage Error,2016-01-04,Fitnet-LSUV-SVM,0.38,All you need is a good init
Image Recognition,Vision,Image Recognition,MSRC-21,MSRC-21 image semantic labelling (per-class),Percentage Correct,2008-07-01,STF,67,Semantic Texton Forests for Image Categorization and Segmentation
Image Recognition,Vision,Image Recognition,MSRC-21,MSRC-21 image semantic labelling (per-class),Percentage Correct,2009-07-01,TextonBoost,57,TextonBoost for Image Understanding
Image Recognition,Vision,Image Recognition,MSRC-21,MSRC-21 image semantic labelling (per-class),Percentage Correct,2010-07-01,Auto-Context,69,Auto-Context and Its Application to High-Level Vision Tasks and 3D Brain Image Segmentation
Image Recognition,Vision,Image Recognition,MSRC-21,MSRC-21 image semantic labelling (per-class),Percentage Correct,2010-07-01,HCRF+CO,77,Graph Cut based Inference with Co-occurrence Statistics
Image Recognition,Vision,Image Recognition,MSRC-21,MSRC-21 image semantic labelling (per-class),Percentage Correct,2011-07-01,Are Spatial and Global Constraints Really Necessary for Segmentation?,77,Are Spatial and Global Constraints Really Necessary for Segmentation?
